common_name,scientific_name,order,family,genus,species,
large turkey louse,Chelopistes meleagridis (Linnaeus),Phthiraptera,Philopteridae,Chelopistes,meleagridis,
larger black flour beetle,Cynaeus angustus (LeConte),Coleoptera,Tenebrionidae,Cynaeus,angustus,
larger canna leafroller,Calpodes ethlius (Stoll),Lepidoptera,Hesperiidae,Calpodes,ethlius,
larger elm leaf beetle,Monocesta coryli (Say),Coleoptera,Chrysomelidae,Monocesta,coryli,
larger grain borer,Prostephanus truncatus (Horn),Coleoptera,Bostrichidae,Prostephanus,truncatus,
larger Hawaiian cutworm,Agrotis crinigera (Butler),Lepidoptera,Noctuidae,Agrotis,crinigera,
larger lantana butterfly,Tmolus echion (Linnaeus),Lepidoptera,Lycaenidae,Tmolus,echion,
larger Mexican pine beetle,Dendroctonus approximatus Dietz,Coleoptera,Curculionidae,Dendroctonus,approximatus,
larger pale trogiid,Trogium pulsatorium (Linnaeus),Psocoptera,Trogiidae,Trogium,pulsatorium,
larger shothole borer,Scolytus mali (Bechstein),Coleoptera,Curculionidae,Scolytus,mali,
larger tamarisk beetle,Diorhabda carinata (Faldermann),Coleoptera,Chrysomelidae,Diorhabda,carinata,
larger yellow ant,Acanthomyops interjectus (Mayr),Hymenoptera,Formicidae,Acanthomyops,interjectus,
latania scale,Hemiberlesia lataniae (Signoret),Hemiptera,Diaspididae,Hemiberlesia,lataniae,
latrine fly,Fannia scalaris (Fabricius),Diptera,Fanniidae,Fannia,scalaris,
lawn armyworm,Spodoptera mauritia (Boisduval),Lepidoptera,Noctuidae,Spodoptera,mauritia,
lawn leafhopper,Maestes hospes (Kirkaldy),Hemiptera,Cicadellidae,Maestes,hospes,
leadcable borer,Scobicia declivis (LeConte),Coleoptera,Bostrichidae,Scobicia,declivis,
leaf crumpler,Acrobasis indigenella (Zeller),Lepidoptera,Pyralidae,Acrobasis,indigenella,
leaffooted bug,Leptoglossus phyllopus (Linnaeus),Hemiptera,Coreidae,Leptoglossus,phyllopus,
leaffooted pine seed bug,Leptoglossus corculus (Say),Hemiptera,Coreidae,Leptoglossus,corculus,
leafhopper assassin bug,Zelus renardii Kolenati,Hemiptera,Reduviidae,Zelus,renardii,
leek moth,Acrolepiopsis assectella (Zeller),Lepidoptera,Acrolepiidae,Acrolepiopsis,assectella,
lemon cuckoo bumble bee,Bombus citrinus (Smith),Hymenoptera,Apidae,Bombus,citrinus,
leopard moth,Zeuzera pyrina (Linnaeus),Lepidoptera,Cossidae,Zeuzera,pyrina,
lespedeza webworm,Pococera scortealis (Lederer),Lepidoptera,Pyralidae,Pococera,scortealis,
lesser appleworm,Grapholita prunivora (Walsh),Lepidoptera,Tortricidae,Grapholita,prunivora,
lesser brown scorpion,Isometrus maculatus De Geer,Scorpiones,Buthidae,Isometrus,maculatus,
lesser bud moth,Recurvaria nanella Denis & Schiffermüller,Lepidoptera,Gelechiidae,Recurvaria,nanella,
lesser bulb fly,Eumerus tuberculatus Rondani,Diptera,Syrphidae,Eumerus,tuberculatus,
lesser canna leafroller,Geshna cannalis (Quaintance),Lepidoptera,Crambidae,Geshna,cannalis,
lesser clover leaf weevil,Hypera nigrirostris (Fabricius),Coleoptera,Curculionidae,Hypera,nigrirostris,
lesser cornstalk borer,Elasmopalpus lignosellus (Zeller),Lepidoptera,Pyralidae,Elasmopalpus,lignosellus,
lesser ensign wasp,Szepligetella sericea (Cameron),Hymenoptera,Evaniidae,Szepligetella,sericea,
lesser follicle mite,Demodex brevis Bulanova,Acari,Demodicidae,Demodex,brevis,
lesser grain borer,Rhyzopertha dominica (Fabricius),Coleoptera,Bostrichidae,Rhyzopertha,dominica,
lesser lawn leafhopper,Graminella sonora (Ball),Hemiptera,Cicadellidae,Graminella,sonora,
lesser mealworm,Alphitobius diaperinus (Panzer),Coleoptera,Tenebrionidae,Alphitobius,diaperinus,
lesser orchid weevil,Orchidophilus peregrinator Buchanan,Coleoptera,Curculionidae,Orchidophilus,peregrinator,
lesser peachtree borer,Synanthedon pictipes (Grote & Robinson),Lepidoptera,Sesiidae,Synanthedon,pictipes,
lesser wax moth,Achroia grisella (Fabricius),Lepidoptera,Pyralidae,Achroia,grisella,
lettuce root aphid,Pemphigus bursarius (Linnaeus),Hemiptera,Aphididae,Pemphigus,bursarius,
leucaena psyllid,Heteropsylla cubana Crawford,Hemiptera,Psyllidae,Heteropsylla,cubana,
light brown apple moth,Epiphyas postvittana (Walker),Lepidoptera,Tortricidae,Epiphyas,postvittana,
lilac borer*,Podosesia syringae (Harris),Lepidoptera,Sesiidae,Podosesia,syringae,
lilac leafminer,Caloptilia syringella (Fabricius),Lepidoptera,Gracillariidae,Caloptilia,syringella,
lilac root weevil,Otiorhynchus meridionalis Gyllenhal,Coleoptera,Curculionidae,Otiorhynchus,meridionalis,
lily bulb thrips,Liothrips vaneeckei Priesner,Thysanoptera,Phlaeothripidae,Liothrips,vaneeckei,
lily leaf beetle,Lilioceris lilii (Scopoli),Coleoptera,Chrysomelidae,Lilioceris,lilii,
lily weevil,Agasphaerops nigra Horn,Coleoptera,Curculionidae,Agasphaerops,nigra,
limabean pod borer,Etiella zinckenella (Treitschke),Lepidoptera,Pyralidae,Etiella,zinckenella,
limabean vine borer,Monoptilota pergratialis (Hulst),Lepidoptera,Pyralidae,Monoptilota,pergratialis,
lime swallowtail,Papilio demoleus Linnaeus,Lepidoptera,Papilionidae,Papilio,demoleus,
linden borer,Saperda vestita Say,Coleoptera,Cerambycidae,Saperda,vestita,
linden looper,Erannis tiliaria (Harris),Lepidoptera,Geometridae,Erannis,tiliaria,
lined click beetle,Agriotes lineatus (Linnaeus),Coleoptera,Elateridae,Agriotes,lineatus,
lined spittlebug,Neophilaenus lineatus (Linnaeus),Hemiptera,Cercopidae,Neophilaenus,lineatus,
lined stalk borer,Oligia fractilinea (Grote),Lepidoptera,Noctuidae,Oligia,fractilinea,
lion beetle,Ulochaetes leoninus LeConte,Coleoptera,Cerambycidae,Ulochaetes,leoninus,
litchi fruit moth,Cryptophlebia ombrodelta (Lower),Lepidoptera,Tortricidae,Cryptophlebia,ombrodelta,
litchi mite,Aceria litchii (Keifer),Acari,Eriophyidae,Aceria,litchii,
little black ant,Monomorium minimum (Buckley),Hymenoptera,Formicidae,Monomorium,minimum,
little blue cattle louse,Solenopotes capillatus (Enderlein),Phthiraptera,Linognathidae,Solenopotes,capillatus,
little brown mealybug destroyer,Nephus sordidus (Horn),Coleoptera,Coccinellidae,Nephus,sordidus,
little carpenterworm,Prionoxystus macmurtrei (Guenée),Lepidoptera,Cossidae,Prionoxystus,macmurtrei,
little fire ant,Wasmannia auropunctata (Roger),Hymenoptera,Formicidae,Wasmannia,auropunctata,
little green leafhopper,Balclutha incisa hospes (Kirkaldy),Hemiptera,Cicadellidae,Balclutha,incisa hospes,
little house fly,Fannia canicularis (Linnaeus),Diptera,Fanniidae,Fannia,canicularis,
little yellow ant,Plagiolepis alluaudi Emery,Hymenoptera,Formicidae,Plagiolepis,alluaudi,
loblolly pine sawfly,Neodiprion taedae linearis Ross,Hymenoptera,Diprionidae,Neodiprion,taedae linearis,
locust borer,Megacyllene robiniae (Förster),Coleoptera,Cerambycidae,Megacyllene,robiniae,
locust leafminer,Odontota dorsalis (Thunberg),Coleoptera,Chrysomelidae,Odontota,dorsalis,
locust leafroller,Sciota subcaesiella (Clemens),Lepidoptera,Pyralidae,Sciota,subcaesiella,
locust twig borer,Ecdytolopha insiticiana Zeller,Lepidoptera,Tortricidae,Ecdytolopha,insiticiana,
lodgepole needleminer,Coleotechnites milleri (Busck),Lepidoptera,Gelechiidae,Coleotechnites,milleri,
lodgepole pine beetle,Dendroctonus murrayanae Hopkins,Coleoptera,Curculionidae,Dendroctonus,murrayanae,
lodgepole sawfly,Neodiprion burkei Middleton,Hymenoptera,Diprionidae,Neodiprion,burkei,
lodgepole terminal weevil,Pissodes terminalis Hopping,Coleoptera,Curculionidae,Pissodes,terminalis,
lone star tick,Amblyomma americanum (Linnaeus),Acari,Ixodidae,Amblyomma,americanum,
long brown scale,Coccus longulus (Douglas),Hemiptera,Coccidae,Coccus,longulus,
longheaded flour beetle,Latheticus oryzae Waterhouse,Coleoptera,Tenebrionidae,Latheticus,oryzae,
longleaf pine seedworm,Cydia ingens (Heinrich),Lepidoptera,Tortricidae,Cydia,ingens,
longlegged ant,Anoplolepis gracilipes (Fr. Smith),Hymenoptera,Formicidae,Anoplolepis,gracilipes,
longnosed cattle louse,Linognathus vituli (Linnaeus),Phthiraptera,Linognathidae,Linognathus,vituli,
longtailed fruit fly parasite,Opius longicaudatus Ashmead,Hymenoptera,Braconidae,Opius,longicaudatus,
longtailed mealybug,Pseudococcus longispinus (Targioni Tozzetti),Hemiptera,Pseudococcidae,Pseudococcus,longispinus,
lotis blue,Lycaeides argyrognomon lotis (Lintner),Lepidoptera,Lycaenidae,Lycaeides,argyrognomon lotis,
Louisiana red crayfish,Procambarus clarkii (Girard),Decapoda,Cambaridae,Procambarus,clarkii,
lowland tree termite,Incisitermes immigrans (Snyder),Blattodea,Kalotermitidae,Incisitermes,immigrans,
luna moth,Actias luna (Linnaeus),Lepidoptera,Saturniidae,Actias,luna,
Macao paper wasp,Polistes olivaceus (De Geer),Hymenoptera,Vespidae,Polistes,olivaceus,
Madeira cockroach,Rhyparobia maderae (Fabricius),Blattodea,Blaberidae,Rhyparobia,maderae,
madeira mealybug,Phenacoccus madeirensis Green,Hemiptera,Pseudococcidae,Phenacoccus,madeirensis,
magnolia scale,Neolecanium cornuparvum (Thro),Hemiptera,Coccidae,Neolecanium,cornuparvum,
mahogany bark weevil,Macrocopturus floridanus (Fall),Coleoptera,Curculionidae,Macrocopturus,floridanus,
mahogany leafminer,Phyllocnistis meliacella Becker,Lepidoptera,Gracillariidae,Phyllocnistis,meliacella,
mahogany webworm,Macalla thyrsisalis Walker,Lepidoptera,Pyralidae,Macalla,thyrsisalis,
maize billbug,Sphenophorus maidis Chittenden,Coleoptera,Curculionidae,Sphenophorus,maidis,
maize weevil,Sitophilus zeamais Motschulsky,Coleoptera,Curculionidae,Sitophilus,zeamais,
mango bark beetle,Hypocryphalus mangiferae (Stebbing),Coleoptera,Curculionidae,Hypocryphalus,mangiferae,
mango bud mite,Aceria mangiferae Sayed,Acari,Eriophyidae,Aceria,mangiferae,
mango flower beetle,Protaetia fusca (Herbst),Coleoptera,Scarabaeidae,Protaetia,fusca,
mango shoot caterpillar,Penicillaria jocosatrix Guenée,Lepidoptera,Eutellidae,Penicillaria,jocosatrix,
mango spider mite,Oligonychus mangiferus (Rahman & Sapra),Acari,Tetranychidae,Oligonychus,mangiferus,
mango weevil,Cryptorhynchus mangiferae (Fabricius),Coleoptera,Curculionidae,Cryptorhynchus,mangiferae,
manzanita leafgall aphid,Tamalia coweni (Cockerell),Hemiptera,Aphididae,Tamalia,coweni,
maple bladdergall mite,Vasates quadripedes Shimer,Acari,Eriophyidae,Vasates,quadripedes,
maple callus borer,Synanthedon acerni (Clemens),Lepidoptera,Sesiidae,Synanthedon,acerni,
maple leafcutter,Paraclemensia acerifoliella (Fitch),Lepidoptera,Incurvariidae,Paraclemensia,acerifoliella,
maple petiole borer,Caulocampus acericaulis (MacGillivray),Hymenoptera,Tenthredinidae,Caulocampus,acericaulis,
maple trumpet skeletonizer,Catastega aceriella Clemens,Lepidoptera,Tortricidae,Catastega,aceriella,
margined blister beetle,Epicauta funebris Horn,Coleoptera,Meloidae,Epicauta,funebris,
Maricopa harvester ant,Pogonomyrmex maricopa Wheeler,Hymenoptera,Formicidae,Pogonomyrmex,maricopa,
marigold fruit fly,Trupanea vicina (Wulp),Diptera,Tephritidae,Trupanea,vicina,
marsh slug,Deroceras laeve (Müller),Stylommatophora,Agriolimacidae,Deroceras,laeve,
masked hunter,Reduvius personatus (Linnaeus),Hemiptera,Reduviidae,Reduvius,personatus,
Mauna Loa bean beetle,Araecerus cumingi (Jekel),Coleoptera,Anthribidae,Araecerus,cumingi,
McDaniel spider mite,Tetranychus mcdanieli McGregor,Acari,Tetranychidae,Tetranychus,mcdanieli,
meadow plant bug,Leptopterna dolabrata (Linnaeus),Hemiptera,Miridae,Leptopterna,dolabrata,
meadow spittlebug,Philaenus spumarius (Linnaeus),Hemiptera,Cercopidae,Philaenus,spumarius,
meal moth,Pyralis farinalis Linnaeus,Lepidoptera,Pyralidae,Pyralis,farinalis,
mealy plum aphid,Hyalopterus pruni (Geoffroy),Hemiptera,Aphididae,Hyalopterus,pruni,
mealybug destroyer,Cryptolaemus montrouzieri Mulsant,Coleoptera,Coccinellidae,Cryptolaemus,montrouzieri,
Mediterranean flour moth,Ephestia kuehniella (Zeller),Lepidoptera,Pyralidae,Ephestia,kuehniella,
Mediterranean fruit fly,Ceratitis capitata (Wiedemann),Diptera,Tephritidae,Ceratitis,capitata,
Mediterranean pine engraver,Orthotomicus erosus (Wollaston),Coleoptera,Curculionidae,Orthotomicus,erosus,
Mediterranean recluse spider,Loxosceles rufescens (Dufour),Araneae,Sicariidae,Loxosceles,rufescens,
Mediterranean tamarisk beetle,Diorhabda elongata (Brullé),Coleoptera,Chrysomelidae,Diorhabda,elongata,
melastoma borer,Nola brunellus (Hampson),Lepidoptera,Nolidae,Nola,brunellus,
melon aphid*,Aphis gossypii Glover,Hemiptera,Aphididae,Aphis,gossypii,
melon fly,Bactrocera cucurbitae Coquillett,Diptera,Tephritidae,Bactrocera,cucurbitae,
melon thrips,Thrips palmi Karny,Thysanoptera,Thripidae,Thrips,palmi,
melonworm,Diaphania hyalinata (Linnaeus),Lepidoptera,Crambidae,Diaphania,hyalinata,
merchant grain beetle,Oryzaephilus mercator (Fauvel),Coleoptera,Silvanidae,Oryzaephilus,mercator,
Mexican bean beetle,Epilachna varivestis Mulsant,Coleoptera,Coccinellidae,Epilachna,varivestis,
Mexican bean weevil,Zabrotes subfasciatus (Boheman),Coleoptera,Chrysomelidae,Zabrotes,subfasciatus,
Mexican black scale,Saissetia miranda (Cockerell & Parrott),Hemiptera,Coccidae,Saissetia,miranda,
Mexican corn rootworm,Diabrotica virgifera zeae Krysan & Smith,Coleoptera,Chrysomelidae,Diabrotica,virgifera zeae,
Mexican fruit fly,Anastrepha ludens (Loew),Diptera,Tephritidae,Anastrepha,ludens,
Mexican lac scale,Tachardiella mexicana (Comstock),Hemiptera,Kerriidae,Tachardiella,mexicana,
Mexican leafroller,Amorbia emigratella Busck,Lepidoptera,Tortricidae,Amorbia,emigratella,
Mexican mealybug,Phenacoccus gossypii Townsend & Cockerell,Hemiptera,Pseudococcidae,Phenacoccus,gossypii,
Mexican rice borer,Eoreuma loftini (Dyar),Lepidoptera,Crambidae,Eoreuma,loftini,
migratory grasshopper,Melanoplus sanguinipes (Fabricius),Orthoptera,Acrididae,Melanoplus,sanguinipes,
mile-a-minute weevil,Rhinoncomimus latipes Korotyaev,Coleoptera,Curculionidae,Rhinoncomimus,latipes,
milfoil weevil,Euhrychiopsis lecontei (Dietz),Coleoptera,Curculionidae,Euhrychiopsis,lecontei,
mimosa webworm,Homadaula anisocentra Meyrick,Lepidoptera,Galacticidae,Homadaula,anisocentra,
mining scale,Howardia biclavis (Comstock),Hemiptera,Diaspididae,Howardia,biclavis,
mint aphid,Ovatus crataegarius (Walker),Hemiptera,Aphididae,Ovatus,crataegarius,
minute egg parasite,Trichogramma minutum Riley,Hymenoptera,Trichogrammatidae,Trichogramma,minutum,
minute pirate bug,Orius tristicolor (White),Hemiptera,Anthocoridae,Orius,tristicolor,
mission blue,Icaricia icarioides missionensis (Hovanitz),Lepidoptera,Lycaenidae,Icaricia,icarioides missionensis,
Modoc budworm,Choristoneura retiniana (Walshingham),Lepidoptera,Tortricidae,Choristoneura,retiniana,
mold mite,Tyrophagus putrescentiae (Schrank),Acari,Acaridae,Tyrophagus,putrescentiae,
monarch butterfly,Danaus plexippus (Linnaeus),Lepidoptera,Danaidae,Danaus,plexippus,
monkeypod moth,Polydesma umbricola Boisduval,Lepidoptera,Erebidae,Polydesma,umbricola,
monkeypod roundheaded borer,Xystrocera globosa (Olivier),Coleoptera,Cerambycidae,Xystrocera,globosa,
Monterey pine cone beetle,Conophthorus radiatae Hopkins,Coleoptera,Curculionidae,Conophthorus,radiatae,
Monterey pine resin midge,Cecidomyia resinicoloides Williams,Diptera,Cecidomyiidae,Cecidomyia,resinicoloides,
Monterey pine weevil,Pissodes radiatae Hopkins,Coleoptera,Curculionidae,Pissodes,radiatae,
Mormon cricket,Anabrus simplex Haldeman,Orthoptera,Tettigoniidae,Anabrus,simplex,
morningglory leafminer,Bedellia somnulentella (Zeller),Lepidoptera,Bedellidae,Bedellia,somnulentella,
Morrill lace bug,Corythucha morrilli Osborn & Drake,Hemiptera,Tingidae,Corythucha,morrilli,
Morrison bumble bee,Bombus morrisoni Cresson,Hymenoptera,Apidae,Bombus,morrisoni,
mossyrose gall wasp,Diplolepis rosae (Linnaeus),Hymenoptera,Cynipidae,Diplolepis,rosae,
mottled tortoise beetle,Deloyala guttata (Olivier),Coleoptera,Chrysomelidae,Deloyala,guttata,
mountain leafhopper,Colladonus montanus (Van Duzee),Hemiptera,Cicadellidae,Colladonus,montanus,
mountain pine beetle,Dendroctonus ponderosae Hopkins,Coleoptera,Curculionidae,Dendroctonus,ponderosae,
mountain pine coneworm,Dioryctria yatesi Mutuura & Munroe,Lepidoptera,Pyralidae,Dioryctria,yatesi,
mountain-ash sawfly,Pristiphora geniculata (Hartig),Hymenoptera,Tenthredinidae,Pristiphora,geniculata,
mourningcloak butterfly,Nymphalis antiopa (Linnaeus),Lepidoptera,Nymphalidae,Nymphalis,antiopa,
mulberry whitefly,Tetraleurodes mori (Quaintance),Hemiptera,Aleyrodidae,Tetraleurodes,mori,
mullein thrips,Haplothrips verbasci (Osborn),Thysanoptera,Phlaeothripidae,Haplothrips,verbasci,
multicolored Asian lady beetle,Harmonia axyridis (Pallas),Coleoptera,Coccinellidae,Harmonia,axyridis,
Nantucket pine tip moth,Rhyacionia frustrana (Comstock),Lepidoptera,Tortricidae,Rhyacionia,frustrana,
narcissus bulb fly,Merodon equestris (Fabricius),Diptera,Syrphidae,Merodon,equestris,
narrownecked grain beetle,Omonadus floralis (Linnaeus),Coleoptera,Anthicidae,Omonadus,floralis,
narrowwinged mantid,Tenodera augustipennis Saussure,Mantodea,Mantidae,Tenodera,augustipennis,
native elm bark beetle,Hylurgopinus rufipes (Eichhoff),Coleoptera,Curculionidae,Hylurgopinus,rufipes,
native holly leafminer,Phytomyza ilicicola Loew,Diptera,Agromyzidae,Phytomyza,ilicicola,
navel orangeworm,Amyelois transitella (Walker),Lepidoptera,Pyralidae,Amyelois,transitella,
Nevada buck moth,Hemileuca nevadensis Stretch,Lepidoptera,Saturniiidae,Hemileuca,nevadensis,
Nevada bumble bee,Bombus nevadensis Cresson,Hymenoptera,Apidae,Bombus,nevadensis,
Nevada sage grasshopper,Melanoplus rugglesi Gurney,Orthoptera,Acrididae,Melanoplus,rugglesi,
New Guinea sugarcane weevil,Rhabdoscelus obscurus (Boisduval),Coleoptera,Curculionidae,Rhabdoscelus,obscurus,
new house borer,Arhopalus productus (LeConte),Coleoptera,Cerambycidae,Arhopalus,productus,
New York weevil,Ithycerus noveboracensis (Förster),Coleoptera,Ithyceridae,Ithycerus,noveboracensis,
nigra scale,Parasaissetia nigra (Nietner),Hemiptera,Coccidae,Parasaissetia,nigra,
ninespotted lady beetle,Coccinella novemnotata Herbst,Coleoptera,Coccinellidae,Coccinella,novemnotata,
northeastern sawyer,Monochamus notatus (Drury),Coleoptera,Cerambycidae,Monochamus,notatus,
northern amber bumble bee,Bombus borealis (Kirby),Hymenoptera,Apidae,Bombus,borealis,
northern cattle grub,Hypoderma bovis (Linnaeus),Diptera,Oestridae,Hypoderma,bovis,
northern corn rootworm,Diabrotica barberi Smith & Lawrence,Coleoptera,Chrysomelidae,Diabrotica,barberi,
northern fowl mite,Ornithonyssus sylviarum (Canestrini & Fanzago),Acari,Macronyssidae,Ornithonyssus,sylviarum,
northern giant hornet,Vespa mandarinia Smith,Hymenoptera,Vespidae,Vespa,mandarinia,
northern house mosquito,Culex pipiens Linnaeus,Diptera,Culicidae,Culex,pipiens,
northern masked chafer,Cyclocephala borealis Arrow,Coleoptera,Scarabaeidae,Cyclocephala,borealis,
northern mole cricket,Neocurtilla hexadactyla (Perty),Orthoptera,Gryllotalpidae,Neocurtilla,hexadactyla,
northern pitch twig moth,Retinia albicapitana (Busck),Lepidoptera,Tortricidae,Retinia,albicapitana,
northern rat flea,Nosopsyllus fasciatus (Bosc),Siphonaptera,Ceratophyllidae,Nosopsyllus,fasciatus,
northern red oak kermes ,Allokermes kingii (Cockerell),Hemiptera,Kermesidae,Allokermes,kingii,
northern spruce engraver,Ips perturbatus (Eichoff),Coleoptera,Curculionidae,Ips,perturbatus,
northern tamarisk beetle,Diorhabda carinulata (Desbrochers),Coleoptera,Chrysomelidae,Diorhabda,carinulata,
northern walkingstick,Diapheromera femorata (Say),Phasmatodea,Diapheromeridae,Diapheromera,femorata,
northwest coast mosquito,Aedes aboriginis Dyar,Diptera,Culicidae,Aedes,aboriginis,
Norway maple aphid,Periphyllus lyropictus (Kessler),Hemiptera,Aphididae,Periphyllus,lyropictus,
nose bot fly,Gasterophilus haemorrhoidalis (Linnaeus),Diptera,Oestridae,Gasterophilus,haemorrhoidalis,
nutgrass armyworm,Spodoptera exempta (Walker),Lepidoptera,Noctuidae,Spodoptera,exempta,
nutgrass billbug,Sphenophorus cariosus (Olivier),Coleoptera,Curculionidae,Sphenophorus,cariosus,
nutgrass borer moth,Bactra venosana (Zeller),Lepidoptera,Tortricidae,Bactra,venosana,
nutgrass weevil,Athesapeuta cyperi Marshall,Coleoptera,Curculionidae,Athesapeuta,cyperi,
Nuttall blister beetle,Lytta nuttalli Say,Coleoptera,Meloidae,Lytta,nuttalli,
oak clearwing moth,Paranthrene asilipennis (Guérin-Méneville),Lepidoptera,Sesiidae,Paranthrene,asilipennis,
oak lace bug,Corythucha arcuata (Say),Hemiptera,Tingidae,Corythucha,arcuata,
oak leafroller,Archips semiferanus (Walker),Lepidoptera,Tortricidae,Archips,semiferanus,
oak leaftier,Croesia semipurpurana (Kearfott),Lepidoptera,Tortricidae,Croesia,semipurpurana,
oak lecanium,Parthenolecanium quercifex (Fitch),Hemiptera,Coccidae,Parthenolecanium,quercifex,
oak rough bulletgall wasp,Disholcaspis quercusmamma (Walsh),Hymenoptera,Cynipidae,Disholcaspis,quercusmamma,
oak sapling borer,Goes tesselatus (Haldeman),Coleoptera,Cerambycidae,Goes,tesselatus,
oak skeletonizer,Bucculatrix ainsliella Murtfeldt,Lepidoptera,Bucculatricidae,Bucculatrix,ainsliella,
oak timberworm,Arrhenodes minutus (Drury),Coleoptera,Brentidae,Arrhenodes,minutus,
oak webworm,Archips fervidana (Clemens),Lepidoptera,Tortricidae,Archips,fervidana,
obliquebanded leafroller,Choristoneura rosaceana (Harris),Lepidoptera,Tortricidae,Choristoneura,rosaceana,
obscure mealybug,Pseudococcus viburni (Signoret),Hemiptera,Pseudococcidae,Pseudococcus,viburni,
obscure root weevil,Sciopithes obscurus Horn,Coleoptera,Curculionidae,Sciopithes,obscurus,
obscure scale,Melanaspis obscura (Comstock),Hemiptera,Diaspididae,Melanaspis,obscura,
oceanic burrower bug,Fromundus pygmaeus (Dallas),Hemiptera,Cydnidae,Fromundus,pygmaeus,
oceanic embiid,Aposthonia oceania (Ross),Embiidina,Oligotomidae,Aposthonia,oceania,
oceanic field cricket,Teleogryllus oceanicus (Le Guillou),Orthoptera,Gryllidae,Teleogryllus,oceanicus,
odd beetle,Thylodrias contractus Motschulsky,Coleoptera,Dermestidae,Thylodrias,contractus,
odorous house ant,Tapinoma sessile (Say),Hymenoptera,Formicidae,Tapinoma,sessile,
old house borer,Hylotrupes bajulus (Linnaeus),Coleoptera,Cerambycidae,Hylotrupes,bajulus,
Old World bollworm,Helicoverpa armigera (Hubner),Lepidoptera,Noctuidae,Helicoverpa,armigera,
oleander aphid,Aphis nerii Boyer de Fonscolombe,Hemiptera,Aphididae,Aphis,nerii,
oleander hawk moth,Daphnis nerii (Linnaeus),Lepidoptera,Sphingidae,Daphnis,nerii,
oleander pit scale,Asterolecanium pustulans (Cockerell),Hemiptera,Asterolecaniidae,Asterolecanium,pustulans,
oleander scale,Aspidiotus nerii Bouch,Hemiptera,Diaspididae,Aspidiotus,nerii,
olive fruit fly,Bactrocera oleae (Gmelin),Diptera,Tephritidae,Bactrocera,oleae,
olive scale,Parlatoria oleae (Colvée),Hemiptera,Diaspididae,Parlatoria,oleae,
omnivorous leafroller,Platynota stultana Walsingham,Lepidoptera,Tortricidae,Platynota,stultana,
omnivorous leaftier,Cnephasia longana (Haworth),Lepidoptera,Tortricidae,Cnephasia,longana,
omnivorous looper,Sabulodes aegrotata (Guenée),Lepidoptera,Geometridae,Sabulodes,aegrotata,
onespotted stink bug,Euschistus variolarius (Palisot de Beauvois),Hemiptera,Pentatomidae,Euschistus,variolarius,
onion aphid,Neotoxoptera formosana (Takahashi),Hemiptera,Aphididae,Neotoxoptera,formosana,
onion bulb fly,Eumerus strigatus (Fallén),Diptera,Syrphidae,Eumerus,strigatus,
onion maggot,Delia antiqua (Meigen),Diptera,Anthomyiidae,Delia,antiqua,
onion plant bug,Labopidea allii (Knight),Hemiptera,Miridae,Labopidea,allii,
onion thrips,Thrips tabaci Lindeman,Thysanoptera,Thripidae,Thrips,tabaci,
orange mint moth,Pyrausta orphisalis Walker,Lepidoptera,Crambidae,Pyrausta,orphisalis,
orange spiny whitefly,Aleurocanthus spiniferus (Quaintance),Hemiptera,Aleyrodidae,Aleurocanthus,spiniferus,
orange tortrix,Argyrotaenia franciscana (Walsingham),Lepidoptera,Tortricidae,Argyrotaenia,franciscana,
orangedog,Papilio cresphontes Cramer,Lepidoptera,Papilionidae,Papilio,cresphontes,
orangehumped mapleworm,Symmerista leucitys Franclemont,Lepidoptera,Notodontidae,Symmerista,leucitys,
orangestriped oakworm,Anisota senatoria (J.E. Smith),Lepidoptera,Saturniidae,Anisota,senatoria,
orangetailed potter wasp,Delta latreillei petiolare (Schulz),Hymenoptera,Vespidae,Delta,latreillei petiolare,
orchid aphid,Sitobion luteum (Buckton),Hemiptera,Aphididae,Sitobion,luteum,
orchidfly,Eurytoma orchidearum (Westwood),Hymenoptera,Eurytomidae,Eurytoma,orchidearum,
Oregon ash bark beetle,Hylesinus oregonus (Blackman),Coleoptera,Curculionidae,Hylesinus,oregonus,
Oregon fir sawyer,Monochamus scutellatus oregonensis (LeConte),Coleoptera,Cerambycidae,Monochamus,scutellatus oregonensis,
Oregon wireworm,Melanotus longulus oregonensis (LeConte),Coleoptera,Elateridae,Melanotus,longulus oregonensis,
oriental beetle,Anomala orientalis (Waterhouse),Coleoptera,Scarabaeidae,Anomala,orientalis,
oriental cockroach,Blatta orientalis Linnaeus,Blattodea,Blattidae,Blatta,orientalis,
oriental fruit fly,Bactrocera dorsalis Hendel,Diptera,Tephritidae,Bactrocera,dorsalis,
oriental fruit moth,Grapholita molesta (Busck),Lepidoptera,Tortricidae,Grapholita,molesta,
oriental house fly,Musca domestica vicina Macquart,Diptera,Muscidae,Musca,domestica,
oriental moth,Cnidocampa flavescens (Walker),Lepidoptera,Limacodidae,Cnidocampa,flavescens,
oriental rat flea,Xenopsylla cheopis (Rothschild),Siphonaptera,Pulicidae,Xenopsylla,cheopis,
oriental stink bug,Plautia stali Scott,Hemiptera,Pentatomidae,Plautia,stali,
ornate aphid,Myzus ornatus Laing,Hemiptera,Aphididae,Myzus,ornatus,
orthezia lady beetle,Hyperaspis jocosa (Mulsant),Coleoptera,Coccinellidae,Hyperaspis,jocosa,
